frame id,xmin,ymin,xmax,ymax,class,score,object id
1,419.0,814.0,890.0,1017.0,2,0.6130563020706177,1
1,1023.0,400.0,1058.0,491.0,9,0.5570536851882935,2
1,757.0,473.0,793.0,538.0,9,0.5560030937194824,3
1,1839.0,618.0,1920.0,733.0,2,0.5421638488769531,4
1,1527.0,618.0,1660.0,664.0,2,0.5180810689926147,5
1,956.0,681.0,986.0,753.0,0,0.4388803541660309,6
1,752.0,951.0,1274.0,1080.0,2,0.4343946576118469,7
1,1737.0,599.0,1783.0,633.0,2,0.4314812123775482,8
1,1849.0,443.0,1869.0,487.0,9,0.4142782986164093,9
1,819.0,438.0,857.0,523.0,9,0.3936079144477844,10
1,392.0,340.0,429.0,421.0,9,0.3222472071647644,11
1,1803.0,576.0,1874.0,607.0,2,0.3135405480861664,12
1,449.0,695.0,508.0,754.0,2,0.3064686059951782,13
2,391.0,818.0,870.0,1025.0,2,0.6529789566993713,1
2,757.0,473.0,794.0,538.0,9,0.5533556342124939,3
2,1023.0,400.0,1058.0,491.0,9,0.5466343760490417,2
2,1838.0,619.0,1920.0,733.0,2,0.5312030911445618,4
2,1527.0,618.0,1660.0,664.0,2,0.5123709440231323,5
2,1737.0,599.0,1782.0,633.0,2,0.49138718843460083,8
2,956.0,680.0,986.0,753.0,0,0.43463006615638733,6
2,1849.0,443.0,1869.0,487.0,9,0.4101862609386444,9
2,819.0,437.0,857.0,523.0,9,0.3897831439971924,10
2,411.0,914.0,802.0,1074.0,2,0.3580501079559326,13
2,1803.0,576.0,1875.0,609.0,2,0.33608242869377136,12
2,392.0,340.0,428.0,421.0,9,0.3217247724533081,11
2,448.0,703.0,506.0,752.0,2,0.318578839302063,14
3,390.0,818.0,870.0,1026.0,2,0.6491687297821045,1
3,757.0,473.0,794.0,538.0,9,0.5541644096374512,3
3,1023.0,400.0,1058.0,491.0,9,0.5466059446334839,2
3,1838.0,619.0,1920.0,733.0,2,0.531026303768158,4
3,1527.0,618.0,1660.0,664.0,2,0.512518048286438,5
3,1737.0,599.0,1782.0,633.0,2,0.49165570735931396,8
3,955.0,680.0,986.0,753.0,0,0.4338931143283844,6
3,1849.0,443.0,1869.0,487.0,9,0.40992993116378784,9
3,819.0,437.0,857.0,523.0,9,0.3899329602718353,10
3,408.0,912.0,804.0,1073.0,2,0.33994007110595703,13
3,1803.0,576.0,1875.0,609.0,2,0.33571064472198486,12
3,392.0,340.0,429.0,421.0,9,0.32033559679985046,11
3,448.0,703.0,506.0,752.0,2,0.31553831696510315,14
4,379.0,821.0,857.0,1014.0,2,0.6120265126228333,1
4,757.0,473.0,794.0,538.0,9,0.5455514788627625,3
4,1023.0,400.0,1058.0,491.0,9,0.5423732995986938,2
4,1839.0,620.0,1920.0,733.0,2,0.5216051340103149,4
4,1527.0,618.0,1659.0,664.0,2,0.517332136631012,5
4,1737.0,601.0,1782.0,636.0,2,0.49957722425460815,8
4,400.0,928.0,783.0,1075.0,2,0.4387657046318054,13
4,955.0,680.0,986.0,753.0,0,0.4242337942123413,6
4,1849.0,443.0,1869.0,487.0,9,0.41331687569618225,9
4,819.0,437.0,857.0,523.0,9,0.38246482610702515,10
4,392.0,340.0,428.0,421.0,9,0.3295347988605499,11
